charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Energy drink (SoBe Energize Energy Juice Drink)
# Portion 1 cup = 248 g
Nutrient, Amount, Unit, DV
"Calories", 111.60, KCAL, 
"Fat", 0.00, G, 0%
"Protein", 0.00, G, 0%
"Carbohydrate", 27.95, G, 10%
"Alcohol, ethyl", 0.0, G, 
"Water", 219.36, G, 
"Caffeine", 32.24, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 25.84, G, 
"Fiber", 0.0, G, 0%
"Calcium, Ca", 19.84, MG, 2%
"Iron, Fe", 0.00, MG, 0%
"Magnesium, Mg", 0.00, MG, 0%
"Phosphorus, P", 0.00, MG, 0%
"Potassium, K", 9.92, MG, 0%
"Sodium, Na", 24.80, MG, 1%
"Zinc, Zn", 0.00, MG, 0%
"Copper, Cu", 0.000, MG, 0%
"Selenium, Se", 0.0, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.00, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 62.0, MG, 69%
"Thiamin", 0.000, MG, 0%
"Riboflavin", 0.000, MG, 0%
"Niacin", 0.000, MG, 0%
"Vitamin B6", 0.000, MG, 0%
"Folate", 0.00, UG, 
"Vitamin B12", 0.00, UG, 0%
"Choline", 0.0, MG, 
"Vitamin K", 0.0, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 0.00, UG, 
"Folate, DFE", 0.00, UG, 0%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 0.00, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.000, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.000, G, 
"Octadecanoic acid", 0.000, G, 
"Octadecenoic acid", 0.000, G, 
"Octadecadienoic acid", 0.000, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.000, G, 
"Polyunsaturated fatty acids", 0.000, G, 
"Tocopherol, alpha", 0.00, MG, 
"Net carbs", 27.95, g, 
# Downloaded from https://www.nutritionvalue.org 
